posid;ordid;artid;quantity;totalprice
284;115;500008;7;658.00
285;115;500015;9;72.00
286;115;500006;4;160.00
287;116;500002;1;50.00
288;116;300001;14;5024.60
289;116;500015;14;112.00
290;117;200014;5;2037.00
291;117;300021;3;1018.50
292;117;200002;12;4656.00
293;118;100007;7;4888.80
294;119;100016;1;720.00
295;119;500003;6;42.00
296;120;500008;4;376.00
297;120;500302;13;104.00
298;120;100005;8;5587.20
299;120;500202;5;100.00
300;120;500006;6;240.00
301;121;500102;1;50.00
302;121;500009;13;71.50
303;122;500204;3;45.00
304;122;500104;7;420.00
305;122;200002;5;1940.00
306;122;100008;14;9098.60
307;123;100012;8;5432.00
308;123;100011;11;8002.50
309;124;500015;9;72.00
310;125;100031;7;2716.00
311;125;300021;5;1697.50
312;125;200011;4;1629.60
313;125;400001;14;980.00
314;126;100005;11;7682.40
315;126;500201;2;80.00
316;126;200002;1;400.00
317;127;500003;7;49.00
318;127;200011;6;2444.40
319;127;100007;10;6984.00
320;128;500004;14;84.00
321;129;200002;4;1552.00
322;129;400001;14;980.00
323;130;200003;3;1164.00
324;130;500010;5;200.00
325;131;500105;8;560.00
326;131;500014;9;108.00
327;131;500204;3;45.00
328;132;500006;2;80.00
329;133;500004;1;6.00
330;134;500302;6;48.00
331;135;500105;4;280.00
332;135;500002;5;250.00
333;135;400001;11;770.00
334;136;100006;13;8448.70
335;136;400002;5;375.00
336;136;100005;2;1396.80
337;137;200022;14;5160.40
338;137;100021;10;6790.00
339;138;100031;7;2716.00
340;138;500010;12;480.00
341;138;500005;5;40.00
342;138;500004;11;66.00
343;139;100032;14;5432.00
344;140;100017;3;2240.70
345;140;300012;9;3404.70
346;140;500004;6;36.00
347;140;500201;2;80.00
348;141;200003;4;1552.00
349;142;500006;5;200.00
350;142;500012;10;43.00
351;142;100021;6;4074.00
352;142;500015;14;112.00
353;142;100023;6;4074.00
354;143;500008;10;940.00
355;143;400002;10;750.00
356;143;300012;13;4917.90
357;144;500002;4;200.00
358;145;100002;9;5674.50
359;145;500201;9;360.00
360;145;300021;9;3055.50
361;146;100032;10;3880.00
362;146;500204;13;195.00
363;147;100005;5;3492.00
364;147;500008;7;658.00
365;148;500001;12;90.00
366;148;100012;6;4074.00
367;148;200023;6;2211.60
368;149;500028;8;800.00
369;149;200013;11;4481.40
370;149;500011;9;36.00
371;149;100023;14;9506.00
372;150;100001;9;6111.00
373;150;100018;8;5587.20
374;151;100018;13;9079.20
375;152;100004;14;8827.00
376;152;500102;5;250.00
377;152;500013;14;420.00
378;152;500204;14;210.00
379;153;500001;8;60.00
380;154;200031;3;660.00
381;154;500014;14;168.00
382;154;500003;1;7.00
383;154;500105;12;840.00
384;154;100017;9;6722.10
385;155;500010;3;120.00
386;155;100032;4;1552.00
387;155;500006;6;240.00
388;156;500028;5;500.00
389;156;500009;12;66.00
390;156;500202;6;120.00
391;157;500003;14;98.00
392;157;500103;6;300.00
393;158;400002;3;225.00
394;158;500013;9;270.00
395;158;200004;13;5044.00
396;158;100011;8;5820.00
397;158;500106;5;150.00
398;159;500001;3;22.50
399;159;200013;14;5703.60
400;160;500003;6;42.00
401;161;100021;14;9506.00
402;162;200001;14;5432.00
403;162;200031;12;2560.80
404;163;100032;8;3104.00
405;163;500003;7;49.00
406;163;500005;3;24.00
407;163;500201;10;400.00
408;163;200013;1;420.00
409;164;500202;4;80.00
410;164;100003;3;2037.00
411;164;200012;10;4074.00
412;165;500028;6;600.00
413;165;200003;10;3880.00
414;166;400002;9;675.00
415;167;100018;5;3492.00
416;167;200021;8;2948.80
417;167;500103;10;500.00
418;167;500009;1;5.50
419;167;100008;11;7148.90
420;168;500008;6;564.00
421;168;500301;5;40.00
422;168;200023;9;3317.40
423;168;100004;8;5044.00
424;169;500015;12;96.00
425;169;500004;10;60.00
426;170;400003;12;720.00
427;170;500105;12;840.00
428;171;300021;10;3395.00
429;171;100016;7;4888.80
430;172;500007;13;260.00
431;172;500006;14;560.00
432;172;100032;10;3880.00
433;172;100017;7;5228.30
434;172;200021;11;4054.60
435;172;300012;5;1891.50
436;173;200013;11;4481.40
437;173;500011;4;16.00
438;174;500008;5;470.00
439;174;500014;1;12.00
440;175;100014;8;5432.00
441;175;500106;13;390.00
442;176;100011;2;1455.00
443;176;500002;7;350.00
444;176;200014;2;840.00
445;177;500105;12;840.00
446;178;100011;7;5092.50
447;178;200012;2;840.00
448;179;100018;13;9079.20
449;180;300002;5;1794.50
450;180;500028;3;300.00
451;181;500010;12;480.00
452;181;400003;8;480.00
453;181;400001;10;700.00
454;181;500004;11;66.00
455;182;200004;1;400.00
456;182;500002;11;550.00
457;183;500028;12;1164.00
458;183;100001;5;3395.00
459;183;200001;14;5432.00
460;184;100012;13;8827.00
461;185;500201;5;200.00
462;185;100012;11;7469.00
463;186;300001;5;1794.50
464;186;100016;12;8380.80
465;187;100018;4;2793.60
466;187;100032;6;2328.00
467;187;100001;7;4753.00
468;188;200014;9;3666.60
469;188;200002;6;2328.00
470;189;400001;3;210.00
471;189;500106;4;120.00
472;190;500013;1;30.00
473;190;500203;1;35.00
474;190;300011;5;1891.50
475;191;200013;1;420.00
476;191;200003;7;2716.00
477;192;200023;8;2948.80
478;192;500302;4;32.00
479;192;200022;14;5160.40
480;192;500010;12;480.00
481;193;500204;1;15.00
482;193;100015;12;8962.80
483;194;100007;9;6285.60
484;195;200012;2;840.00
485;195;500013;2;60.00
486;195;100013;13;9457.50
487;195;500028;8;800.00
488;196;400002;3;225.00
489;196;200001;7;2716.00
490;196;500008;4;376.00
491;196;100023;2;1358.00
492;197;500203;9;315.00
493;198;200022;5;1843.00
494;198;100016;6;4190.40
495;198;500104;4;240.00
496;199;500013;8;240.00
497;199;500104;1;60.00
498;199;200023;11;4054.60
499;200;200014;10;4074.00
500;200;100022;12;8148.00
501;201;500013;7;210.00
502;201;200014;9;3666.60
503;201;100013;1;750.00
504;202;500103;14;700.00
505;202;500301;14;112.00
506;202;100004;12;7566.00
507;203;100022;14;9506.00
508;204;100022;10;6790.00
509;204;200002;12;4656.00
510;204;500103;3;150.00
511;204;500202;13;260.00
512;205;100011;10;7275.00
513;206;100005;3;2095.20
514;206;500001;4;30.00
515;207;500013;2;60.00
516;208;100021;4;2716.00
517;208;200031;10;2134.00
518;209;200023;10;3686.00
519;209;200001;11;4268.00
520;209;400002;4;300.00
521;210;500004;11;66.00
522;210;200032;14;2987.60
523;210;500011;10;40.00
524;210;300021;3;1018.50
525;211;100008;12;7798.80
526;212;400001;3;210.00
527;212;300021;4;1358.00
528;213;500105;8;560.00
529;213;500102;8;400.00
530;214;500204;1;15.00
531;214;200022;10;3686.00
532;214;500028;4;400.00
533;215;100008;1;670.00
534;216;100018;7;4888.80
535;216;500004;9;54.00
536;216;500301;10;80.00
537;217;200031;14;2987.60
538;217;500203;5;175.00
539;217;500201;5;200.00
540;217;500005;12;96.00
541;218;500006;3;120.00
542;218;500015;13;104.00
543;219;500006;10;400.00
544;219;100004;13;8196.50
545;219;100006;12;7798.80
546;220;100002;10;6305.00
547;221;400003;12;720.00
548;221;100018;7;4888.80
549;222;100006;14;9098.60
550;222;100022;1;700.00
551;222;300001;5;1794.50
552;222;400003;3;180.00
553;223;300031;14;2716.00
554;223;100011;3;2182.50
555;224;500012;14;60.20
556;225;500203;13;455.00
557;225;300031;6;1164.00
558;225;100008;14;9098.60
559;226;100023;9;6111.00
560;226;200013;1;420.00
561;226;500028;11;1067.00
562;226;100001;4;2716.00
563;227;500028;4;400.00
564;227;300021;1;350.00
565;228;100007;5;3492.00
566;228;100015;12;8962.80
567;229;500009;4;22.00
568;229;400003;11;660.00
569;230;500015;1;8.00
570;230;500302;9;72.00
571;231;500005;5;40.00
572;231;100004;1;650.00
573;231;500105;11;770.00
574;232;300011;1;390.00
575;232;400001;14;980.00
576;233;500007;7;140.00
577;233;500103;8;400.00
578;233;100031;1;400.00
579;234;100011;7;5092.50
580;234;500002;7;350.00
581;234;100002;4;2522.00
582;234;100018;12;8380.80
583;234;100022;1;700.00
584;234;100007;8;5587.20
585;235;500005;2;16.00
586;235;200032;7;1493.80
587;235;500007;7;140.00
588;235;400001;2;140.00
589;235;100005;11;7682.40
590;236;100017;2;1493.80
591;236;500104;4;240.00
592;236;200021;14;5160.40
593;236;500003;6;42.00
594;236;300021;9;3055.50
595;237;300001;1;370.00
596;237;500007;8;160.00
597;237;500013;14;420.00
598;238;500001;11;82.50
599;238;400001;4;280.00
600;238;200014;6;2444.40
601;239;100031;7;2716.00
602;239;400001;11;770.00
603;239;500010;9;360.00
604;239;500103;4;200.00
605;239;500301;13;104.00
606;240;500012;11;47.30
607;241;200004;10;3880.00
608;241;100015;13;9709.70
609;241;100014;10;6790.00
610;241;500005;8;64.00
611;242;500106;12;360.00
612;242;500204;2;30.00
613;243;500013;2;60.00
614;243;200023;8;2948.80
615;244;200021;8;2948.80
616;245;200003;14;5432.00
617;246;500012;2;8.60
618;247;500012;4;17.20
619;247;500204;9;135.00
620;248;200012;4;1629.60
621;248;200031;10;2134.00
622;249;500001;7;52.50
623;249;100012;11;7469.00
624;250;100015;8;5975.20
625;250;300002;8;2871.20
626;251;200022;7;2580.20
627;251;200032;1;220.00
628;252;200012;2;840.00
629;252;300031;13;2522.00
630;253;300011;4;1513.20
631;253;100032;6;2328.00
632;253;500201;4;160.00
633;254;100002;12;7566.00
634;254;500302;13;104.00
635;254;500028;9;900.00
636;255;100012;13;8827.00
637;255;100004;10;6305.00
638;256;100012;13;8827.00
639;256;300011;4;1513.20
640;257;100005;4;2793.60
641;257;100021;11;7469.00
642;258;200001;7;2716.00
643;259;200014;14;5703.60
644;259;500001;9;67.50
645;260;500204;5;75.00
646;260;400002;13;975.00
647;260;500002;10;500.00
648;261;100002;3;1891.50
649;261;500004;13;78.00
650;262;200004;4;1552.00
651;262;300031;12;2328.00
652;263;300002;3;1076.70
653;263;100004;5;3152.50
654;263;100016;14;9777.60
655;263;500014;6;72.00
656;264;200032;1;220.00
657;264;500103;9;450.00
658;264;100016;4;2793.60
659;264;500012;2;8.60
660;265;100011;6;4365.00
661;265;300012;2;780.00
662;265;200002;2;800.00
663;266;100011;8;5820.00
664;267;100007;11;7682.40
665;267;200032;13;2774.20
666;267;200013;2;840.00
667;268;200021;5;1843.00
668;269;100021;12;8148.00
669;269;300012;12;4539.60
670;270;500008;6;564.00
671;270;400001;13;910.00
672;270;500102;11;550.00
673;270;100001;4;2716.00
674;271;300012;1;390.00
675;272;200001;12;4656.00
676;272;500105;12;840.00
677;272;100014;11;7469.00
678;273;500104;14;840.00
679;273;500013;1;30.00
680;273;500102;10;500.00
681;274;500005;2;16.00
682;274;500010;10;400.00
683;275;100003;5;3395.00
684;275;300012;3;1134.90
685;275;200023;14;5160.40
686;275;500013;3;90.00
687;276;300001;11;3947.90
688;276;100008;1;670.00
689;276;100012;2;1358.00
690;277;100022;12;8148.00
691;277;500202;8;160.00
692;277;100014;11;7469.00
693;278;200011;9;3666.60
694;278;100003;11;7469.00
695;279;500102;13;650.00
696;279;100023;2;1358.00
697;279;500302;12;96.00
698;280;500007;9;180.00
699;280;100015;5;3734.50
700;280;300011;5;1891.50
701;281;500201;5;200.00
702;281;100001;14;9506.00
703;281;500302;12;96.00
704;281;100006;9;5849.10
705;282;500009;13;71.50
706;282;500006;3;120.00
707;282;100007;14;9777.60
708;282;500203;1;35.00
709;283;400001;14;980.00
710;284;200003;8;3104.00
711;284;500008;8;752.00
712;285;200003;9;3492.00
713;285;500012;4;17.20
714;286;200003;11;4268.00
715;286;100006;5;3249.50
716;286;200031;6;1280.40
717;287;100003;2;1358.00
718;287;500014;1;12.00
719;288;200022;7;2580.20
720;288;100031;9;3492.00
721;288;500002;10;500.00
722;288;300002;11;3947.90
723;289;200004;13;5044.00
724;289;400001;12;840.00
725;290;500103;11;550.00
726;290;100002;6;3783.00
727;291;200011;13;5296.20
728;292;200021;5;1843.00
729;292;500013;10;300.00
730;293;100031;14;5432.00
731;293;500007;1;20.00
732;294;500009;2;11.00
733;294;300031;5;970.00
734;295;100022;7;4753.00
735;295;100015;14;10456.60
736;295;500003;12;84.00
737;296;500011;8;32.00
738;296;300011;8;3026.40
739;297;200031;13;2774.20
740;297;100017;7;5228.30
741;297;500201;7;280.00
742;298;100011;4;2910.00
743;298;300021;13;4413.50
744;298;100016;7;4888.80
745;299;100016;13;9079.20
746;300;500014;12;144.00
747;300;500106;13;390.00
748;300;100001;11;7469.00
749;300;500302;13;104.00
750;300;500102;8;400.00
751;301;300012;6;2269.80
752;301;500007;10;200.00
753;302;100014;9;6111.00
754;302;500301;3;24.00
755;302;200004;10;3880.00
756;303;100018;8;5587.20
757;303;100004;1;650.00
758;303;300012;3;1134.90
759;304;100012;10;6790.00
760;305;500001;6;45.00
761;306;500003;13;91.00
762;306;100005;1;720.00
763;306;200023;2;760.00
764;307;400002;5;375.00
765;307;100016;7;4888.80
766;308;500012;13;55.90
767;308;200002;12;4656.00
768;309;300011;8;3026.40
769;309;400003;11;660.00
770;310;500001;2;15.00
771;310;300001;1;370.00
772;311;500005;12;96.00
773;311;200023;8;2948.80
774;312;500201;14;560.00
775;312;400002;10;750.00
776;313;100017;14;10456.60
777;313;200023;13;4791.80
778;314;500302;14;112.00
779;314;400003;7;420.00
780;315;500301;3;24.00
781;316;400001;2;140.00
782;316;500301;5;40.00
783;316;100018;2;1396.80
784;317;100023;7;4753.00
785;317;200001;12;4656.00
786;318;100008;4;2599.60
787;318;400001;3;210.00
788;318;500202;12;240.00
789;319;500301;12;96.00
790;319;200012;5;2037.00
791;320;200021;6;2211.60
792;320;500104;2;120.00
793;320;400001;4;280.00
794;321;100014;11;7469.00
795;322;200014;14;5703.60
796;323;500002;11;550.00
797;323;500010;4;160.00
798;324;100004;2;1261.00
799;324;100008;12;7798.80
800;324;300002;7;2512.30
801;325;200001;10;3880.00
802;326;500105;9;630.00
803;326;500001;14;105.00
804;327;100014;1;700.00
805;327;300011;5;1891.50
806;327;500014;10;120.00
807;328;100018;8;5587.20
808;328;100023;4;2716.00
809;329;100012;3;2037.00
810;329;500203;9;315.00
811;330;100018;11;7682.40
812;330;500006;5;200.00
813;330;200003;14;5432.00
814;331;300002;4;1435.60
815;331;500003;5;35.00
816;331;500202;4;80.00
817;332;200032;6;1280.40
818;332;400002;14;1018.50
819;332;500204;12;180.00
820;332;300011;5;1891.50
821;333;500013;4;120.00
822;333;200022;10;3686.00
823;334;200002;8;3104.00
824;335;500004;14;84.00
825;336;500001;3;22.50
826;336;400001;8;560.00
827;337;100031;11;4268.00
828;337;500004;11;66.00
829;338;200011;6;2444.40
830;338;500015;10;80.00
831;338;500301;9;72.00
832;338;100004;6;3783.00
833;338;200032;11;2347.40
834;338;200023;1;380.00
835;338;300011;4;1513.20
836;338;500005;7;56.00
837;339;200001;8;3104.00
838;339;100018;10;6984.00
839;339;400003;7;420.00
840;339;200003;11;4268.00
841;339;500103;13;650.00
842;339;500001;3;22.50
843;340;200014;13;5296.20
844;340;500005;7;56.00
845;340;100011;8;5820.00
846;340;500201;8;320.00
847;341;500001;12;90.00
848;341;300021;9;3055.50
849;341;200013;4;1629.60
850;342;400003;13;780.00
851;343;500010;4;160.00
852;343;500015;12;96.00
853;344;500009;9;49.50
854;344;500015;2;16.00
855;345;200002;5;1940.00
856;345;100021;13;8827.00
857;345;400002;3;225.00
858;346;200023;5;1843.00
859;346;500204;9;135.00
860;346;400002;1;75.00
861;347;500009;7;38.50
862;347;500002;10;500.00
863;347;500105;11;770.00
864;348;200012;10;4074.00
865;348;200031;3;660.00
866;348;100007;9;6285.60
867;349;100007;5;3492.00
868;350;100023;8;5432.00
869;350;200004;5;1940.00
870;351;200021;8;2948.80
871;351;500012;14;60.20
872;352;200011;8;3259.20
873;352;100004;9;5674.50
874;352;200001;13;5044.00
875;353;100007;11;7682.40
876;353;100032;5;1940.00
877;353;100015;14;10456.60
878;353;300021;11;3734.50
879;353;500103;1;50.00
880;354;500014;3;36.00
881;355;100021;3;2037.00
882;356;200023;7;2580.20
883;356;100013;8;5820.00
884;356;500004;9;54.00
885;356;500001;10;75.00
886;357;200011;8;3259.20
887;357;300012;14;5296.20
888;357;200022;7;2580.20
889;357;500010;13;520.00
890;357;300021;10;3395.00
891;358;100006;3;1949.70
892;358;300001;4;1435.60
893;358;500103;6;300.00
894;358;200001;9;3492.00
895;359;100002;5;3152.50
896;359;300011;8;3026.40
897;360;200003;11;4268.00
898;360;500009;11;60.50
899;360;500008;14;1276.52
900;361;200032;7;1493.80
901;361;100004;9;5674.50
902;361;500002;8;400.00
903;362;100001;1;700.00
904;362;500004;13;78.00
905;362;500008;2;188.00
906;362;300002;8;2871.20
907;363;300001;7;2512.30
908;364;200022;5;1843.00
909;364;100001;6;4074.00
910;365;100002;13;8196.50
911;365;300002;2;740.00
912;366;500012;11;47.30
913;366;500105;3;210.00
914;366;500103;9;450.00
915;367;500006;8;320.00
916;367;200013;11;4481.40
917;367;200003;6;2328.00
918;367;200021;12;4423.20
919;368;200004;7;2716.00
920;368;100011;7;5092.50
921;368;200021;6;2211.60
922;368;500006;1;40.00
923;368;100023;11;7469.00
924;369;100032;2;800.00
925;370;500103;5;250.00
926;370;500102;10;500.00
927;371;200021;10;3686.00
928;372;500204;8;120.00
929;372;200011;6;2444.40
930;373;100007;6;4190.40
931;373;400001;1;70.00
932;373;200014;9;3666.60
933;373;100002;14;8827.00
934;374;200012;11;4481.40
935;374;500013;6;180.00
936;374;500008;10;940.00
937;375;100006;13;8448.70
938;375;500001;8;60.00
939;375;200012;9;3666.60
940;375;500203;5;175.00
941;375;500002;3;150.00
942;376;100007;11;7682.40
943;377;100006;10;6499.00
944;377;300021;7;2376.50
945;378;300002;12;4306.80
946;378;100023;1;700.00
947;378;500007;11;220.00
948;379;200011;3;1222.20
949;379;500002;13;650.00
950;380;400001;4;280.00
951;380;300021;9;3055.50
952;381;100031;14;5432.00
953;382;500028;2;200.00
954;382;100023;4;2716.00
955;382;500014;12;144.00
956;383;100012;12;8148.00
957;383;200004;14;5432.00
958;384;500202;8;160.00
959;384;100003;8;5432.00
960;384;500012;10;43.00
961;384;100015;8;5975.20
962;384;200022;2;760.00
963;385;100006;12;7798.80
964;385;200012;9;3666.60
965;386;200001;6;2328.00
966;386;500001;10;75.00
967;387;500004;12;72.00
968;387;100005;12;8380.80
969;387;200022;1;380.00
970;388;500009;6;33.00
971;389;100015;5;3734.50
972;390;300002;1;370.00
973;391;300011;14;5296.20
974;392;200011;4;1629.60
975;392;500006;10;400.00
976;393;500001;9;67.50
977;393;100002;11;6935.50
978;393;100018;12;8380.80
979;394;100022;7;4753.00
980;394;500201;4;160.00
981;394;200014;4;1629.60
982;395;100031;2;800.00
983;395;500002;9;450.00
984;395;200004;4;1552.00
985;395;500001;1;7.50
986;396;500106;3;90.00
987;396;100031;10;3880.00
988;396;500102;4;200.00
989;396;100008;12;7798.80
990;397;500004;4;24.00
991;397;500201;10;400.00
992;397;200012;8;3259.20
993;397;100011;12;8730.00
994;398;200031;3;660.00
995;398;200001;1;400.00
996;398;200002;2;800.00
997;398;500028;8;800.00
998;399;500015;9;72.00
999;400;100016;2;1396.80
1000;400;500103;13;650.00
1001;401;400003;2;120.00
1002;401;300012;10;3783.00
1003;401;300001;7;2512.30
1004;401;100032;12;4656.00
1005;402;100023;12;8148.00
1006;402;500001;4;30.00
1007;402;500301;6;48.00
1008;402;500015;11;88.00
1009;403;300012;1;390.00
1010;403;300002;11;3947.90
1011;403;100012;7;4753.00
1012;403;500006;8;320.00
1013;403;500104;11;660.00
1014;404;300021;1;350.00
1015;404;100012;3;2037.00
1016;405;100002;10;6305.00
1017;405;100023;10;6790.00
1018;406;200004;11;4268.00
1019;406;500028;14;1358.00
1020;407;100002;14;8827.00
1021;407;500105;12;840.00
1022;407;200023;4;1474.40
1023;407;300001;2;740.00
1024;408;500003;12;84.00
1025;408;100016;1;720.00
1026;408;500201;10;400.00
1027;409;200022;7;2580.20
1028;409;300001;2;740.00
1029;410;500202;14;280.00
1030;410;500015;11;88.00
1031;410;100015;4;2987.60
1032;411;500103;2;100.00
