ordid;orderdate;custid;staffid
320;2002-02-27;104;4
321;2002-02-27;103;6
322;2002-02-27;116;6
323;2002-02-27;118;4
324;2002-02-28;1;3
325;2002-02-28;110;4
326;2002-02-28;203;9
327;2002-02-28;202;6
328;2002-02-28;201;2
329;2002-02-28;204;5
330;2002-02-28;205;8
331;2002-02-28;103;1
332;2002-03-01;112;1
333;2002-03-01;5;6
334;2002-03-01;111;4
335;2002-03-01;104;3
336;2002-03-01;107;9
337;2002-03-02;202;8
338;2002-03-02;114;5
339;2002-03-02;205;3
340;2002-03-02;3;2
341;2002-03-04;109;7
342;2002-03-04;116;2
343;2002-03-04;118;8
344;2002-03-04;205;8
345;2002-03-04;101;3
346;2002-03-04;102;4
347;2002-03-04;106;4
348;2002-03-04;119;1
349;2002-03-05;4;6
350;2002-03-05;101;9
351;2002-03-05;1;7
352;2002-03-05;104;2
353;2002-03-05;204;3
354;2002-03-06;203;4
355;2002-03-06;105;3
356;2002-03-06;118;7
357;2002-03-06;116;4
358;2002-03-06;111;8
359;2002-03-06;102;4
360;2002-03-06;202;7
361;2002-03-06;108;7
362;2002-03-07;102;3
363;2002-03-07;120;7
364;2002-03-07;108;6
365;2002-03-07;111;4
366;2002-03-07;119;3
367;2002-03-07;205;9
368;2002-03-07;103;8
369;2002-03-07;102;7
370;2002-03-07;118;7
371;2002-03-08;112;4
372;2002-03-08;6;3
373;2002-03-08;5;8
374;2002-03-09;112;2
375;2002-03-09;201;8
376;2002-03-09;6;8
377;2002-03-09;117;5
378;2002-03-11;102;4
379;2002-03-11;3;6
380;2002-03-11;113;2
381;2002-03-11;108;3
382;2002-03-11;113;3
383;2002-03-11;1;8
384;2002-03-11;109;3
385;2002-03-11;104;4
386;2002-03-11;113;4
387;2002-03-12;110;5
388;2002-03-12;6;6
389;2002-03-12;105;5
390;2002-03-12;114;3
391;2002-03-12;107;1
392;2002-03-13;116;6
393;2002-03-13;205;4
394;2002-03-13;204;4
395;2002-03-13;3;4
396;2002-03-13;111;6
397;2002-03-13;1;4
398;2002-03-13;114;7
399;2002-03-14;3;5
400;2002-03-14;5;3
401;2002-03-14;1;8
402;2002-03-14;115;7
403;2002-03-14;102;6
404;2002-03-14;103;2
405;2002-03-14;202;7
406;2002-03-15;115;4
407;2002-03-15;107;6
408;2002-03-15;102;8
409;2002-03-15;111;5
410;2002-03-15;106;7
411;2002-03-15;102;2
412;2002-03-15;104;4
413;2002-03-15;4;1
414;2002-03-15;101;8
415;2002-03-16;103;3
416;2002-03-16;204;8
417;2002-03-16;102;7
418;2002-03-16;205;8
419;2002-03-16;113;3
420;2002-03-18;5;2
421;2002-03-18;110;9
422;2002-03-18;205;6
423;2002-03-18;105;3
424;2002-03-18;1;3
425;2002-03-19;120;3
426;2002-03-19;202;4
427;2002-03-19;6;7
428;2002-03-19;103;1
429;2002-03-19;102;4
430;2002-03-19;105;7
431;2002-03-19;204;9
432;2002-03-19;113;4
433;2002-03-19;115;3
434;2002-03-19;117;9
435;2002-03-19;202;7
436;2002-03-19;116;9
437;2002-03-20;6;4
438;2002-03-20;112;9
439;2002-03-20;1;5
440;2002-03-20;105;8
441;2002-03-20;118;1
442;2002-03-20;105;8
443;2002-03-21;116;4
444;2002-03-21;104;7
445;2002-03-21;204;4
446;2002-03-21;201;9
447;2002-03-21;104;1
448;2002-03-21;117;4
449;2002-03-22;111;2
450;2002-03-22;115;1
451;2002-03-22;2;7
452;2002-03-22;119;3
453;2002-03-22;101;9
454;2002-03-22;204;2
455;2002-03-22;2;7
456;2002-03-22;116;8
457;2002-03-23;110;9
458;2002-03-23;103;1
459;2002-03-23;201;1
460;2002-03-23;120;6
461;2002-03-23;116;5
462;2002-03-23;101;1
463;2002-03-23;103;7
464;2002-03-23;102;7
465;2002-03-23;111;8
466;2002-03-25;118;9
467;2002-03-25;114;3
468;2002-03-25;204;2
469;2002-03-25;6;4
470;2002-03-25;120;9
471;2002-03-25;113;6
472;2002-03-25;115;8
473;2002-03-25;104;1
474;2002-03-25;116;4
475;2002-03-25;113;9
476;2002-03-25;6;9
477;2002-03-25;103;7
478;2002-03-26;4;5
479;2002-03-26;106;6
480;2002-03-26;1;9
481;2002-03-26;6;4
482;2002-03-26;2;8
483;2002-03-26;5;4
484;2002-03-27;4;5
485;2002-03-27;203;7
486;2002-03-27;202;8
487;2002-03-27;109;2
488;2002-03-27;3;2
489;2002-03-27;119;9
490;2002-03-27;107;8
491;2002-03-27;111;9
492;2002-03-27;101;6
493;2002-03-28;101;8
494;2002-03-28;112;3
495;2002-03-28;116;2
496;2002-03-28;205;3
497;2002-03-29;109;9
498;2002-03-29;112;8
499;2002-03-29;6;4
500;2002-03-29;1;1
501;2002-03-30;109;6
502;2002-03-30;107;7
503;2002-03-30;1;2
504;2002-03-30;105;3
505;2002-03-30;112;4
506;2002-03-30;115;9
507;2002-04-01;108;7
508;2002-04-01;112;6
509;2002-04-01;203;1
510;2002-04-01;114;6
511;2002-04-01;205;8
512;2002-04-02;120;6
513;2002-04-02;119;6
514;2002-04-02;5;1
515;2002-04-02;106;7
516;2002-04-02;101;5
517;2002-04-02;105;6
518;2002-04-02;1;7
519;2002-04-02;118;1
520;2002-04-02;202;3
521;2002-04-02;116;7
522;2002-04-02;114;4
523;2002-04-02;114;8
524;2002-04-02;105;1
525;2002-04-03;109;9
526;2002-04-03;120;5
527;2002-04-03;119;2
528;2002-04-03;112;2
529;2002-04-03;115;5
530;2002-04-04;112;1
531;2002-04-04;1;6
532;2002-04-04;107;4
533;2002-04-04;3;8
534;2002-04-05;120;5
535;2002-04-05;109;2
536;2002-04-05;3;6
537;2002-04-05;115;2
538;2002-04-05;102;4
539;2002-04-05;102;2
540;2002-04-05;115;1
541;2002-04-05;112;5
542;2002-04-06;107;3
543;2002-04-06;106;7
544;2002-04-06;103;6
545;2002-04-06;109;1
546;2002-04-06;104;3
547;2002-04-06;5;5
548;2002-04-08;109;6
549;2002-04-08;114;6
550;2002-04-08;6;3
551;2002-04-08;108;2
552;2002-04-08;205;4
553;2002-04-09;5;5
554;2002-04-09;101;4
555;2002-04-09;107;8
556;2002-04-09;111;9
557;2002-04-09;119;5
558;2002-04-10;112;4
559;2002-04-10;107;3
560;2002-04-10;201;8
561;2002-04-10;2;8
562;2002-04-10;5;8
563;2002-04-10;4;3
564;2002-04-10;203;6
565;2002-04-10;5;6
566;2002-04-10;202;6
567;2002-04-10;111;6
568;2002-04-10;102;3
569;2002-04-10;6;6
570;2002-04-11;117;9
571;2002-04-11;4;6
572;2002-04-11;116;8
573;2002-04-11;104;6
574;2002-04-11;111;3
575;2002-04-11;4;6
576;2002-04-11;6;6
577;2002-04-11;118;9
578;2002-04-12;5;3
579;2002-04-12;201;4
580;2002-04-12;112;3
581;2002-04-12;118;6
582;2002-04-12;113;8
583;2002-04-12;2;3
584;2002-04-13;3;7
585;2002-04-13;2;1
586;2002-04-13;106;4
587;2002-04-13;2;6
588;2002-04-15;105;6
589;2002-04-15;114;7
590;2002-04-15;104;5
591;2002-04-15;110;6
592;2002-04-15;203;2
593;2002-04-16;113;2
594;2002-04-16;2;3
595;2002-04-16;203;9
596;2002-04-16;115;7
597;2002-04-16;204;3
598;2002-04-16;106;7
599;2002-04-16;205;4
600;2002-04-16;117;8
601;2002-04-17;2;4
602;2002-04-17;106;4
603;2002-04-17;202;9
604;2002-04-17;205;5
605;2002-04-17;6;2
606;2002-04-17;120;7
607;2002-04-17;107;8
608;2002-04-18;120;9
609;2002-04-18;108;4
610;2002-04-18;110;7
611;2002-04-18;119;7
612;2002-04-19;202;7
613;2002-04-19;103;2
614;2002-04-19;114;7
615;2002-04-19;103;2
616;2002-04-19;107;4
617;2002-04-20;101;9
618;2002-04-20;120;8
619;2002-04-20;105;2
620;2002-04-20;204;8
621;2002-04-20;110;7
622;2002-04-20;109;3
623;2002-04-20;107;1
624;2002-04-22;202;9
625;2002-04-22;202;3
626;2002-04-22;204;1
627;2002-04-22;101;8
628;2002-04-22;202;9
629;2002-04-22;107;1
630;2002-04-22;116;1
631;2002-04-22;114;8
632;2002-04-22;112;2
633;2002-04-22;105;8
634;2002-04-23;111;7
635;2002-04-23;105;4
636;2002-04-23;116;3
637;2002-04-23;111;9
638;2002-04-23;119;9
639;2002-04-23;117;3
640;2002-04-24;119;6
641;2002-04-24;107;5
642;2002-04-24;204;2
643;2002-04-24;103;8
644;2002-04-24;201;8
645;2002-04-24;202;7
646;2002-04-24;107;4
647;2002-04-25;109;2
648;2002-04-25;120;5
649;2002-04-25;105;7
650;2002-04-25;114;9
651;2002-04-25;102;3
652;2002-04-25;103;8
653;2002-04-25;110;6
654;2002-04-26;103;4
655;2002-04-26;115;4
656;2002-04-26;102;9
657;2002-04-26;107;7
658;2002-04-26;116;9
659;2002-04-26;113;3
660;2002-04-27;118;3
661;2002-04-27;113;3
662;2002-04-27;205;4
663;2002-04-27;118;3
664;2002-04-27;112;1
665;2002-04-27;105;8
666;2002-04-27;205;9
667;2002-04-27;105;6
668;2002-04-29;111;1
669;2002-04-29;115;3
670;2002-04-29;119;8
671;2002-04-29;116;6
672;2002-04-29;205;8
673;2002-04-29;116;5
674;2002-04-29;117;9
675;2002-04-29;108;4
676;2002-04-29;203;4
677;2002-04-29;4;7
678;2002-04-30;204;1
679;2002-04-30;3;3
680;2002-04-30;116;6
681;2002-04-30;108;9
682;2002-05-01;114;5
683;2002-05-01;115;5
684;2002-05-01;113;7
685;2002-05-01;117;9
686;2002-05-01;5;4
687;2002-05-01;201;6
688;2002-05-01;102;3
689;2002-05-01;107;9
690;2002-05-01;118;8
691;2002-05-02;120;7
692;2002-05-02;119;9
693;2002-05-02;111;4
694;2002-05-02;112;6
695;2002-05-02;205;8
696;2002-05-02;105;3
697;2002-05-02;106;3
698;2002-05-03;113;2
699;2002-05-03;5;6
700;2002-05-03;202;1
701;2002-05-03;120;1
702;2002-05-03;106;4
703;2002-05-03;114;3
704;2002-05-04;112;4
705;2002-05-04;110;1
706;2002-05-04;202;7
707;2002-05-04;114;3
708;2002-05-04;6;9
709;2002-05-06;120;6
710;2002-05-06;103;3
711;2002-05-06;103;9
712;2002-05-06;103;5
713;2002-05-06;116;6
714;2002-05-07;204;9
715;2002-05-07;4;7
716;2002-05-07;101;7
717;2002-05-07;2;5
718;2002-05-08;101;6
719;2002-05-08;202;3
720;2002-05-08;108;6
721;2002-05-08;106;7
722;2002-05-08;115;1
723;2002-05-09;106;7
724;2002-05-09;114;1
725;2002-05-09;101;1
726;2002-05-09;3;7
727;2002-05-09;203;2
728;2002-05-09;120;4
729;2002-05-10;112;3
730;2002-05-10;6;1
731;2002-05-10;205;1
732;2002-05-10;106;9
733;2002-05-11;110;6
734;2002-05-11;4;4
735;2002-05-13;112;2
736;2002-05-13;112;9
737;2002-05-13;2;5
738;2002-05-13;114;9
739;2002-05-13;119;6
740;2002-05-13;102;3
741;2002-05-14;110;1
742;2002-05-14;108;6
743;2002-05-14;1;5
744;2002-05-14;3;3
745;2002-05-14;103;6
746;2002-05-14;202;9
747;2002-05-14;2;6
748;2002-05-14;120;2
749;2002-05-14;204;6
750;2002-05-15;120;7
751;2002-05-15;118;2
752;2002-05-15;205;3
753;2002-05-15;115;1
754;2002-05-15;4;4
755;2002-05-15;113;4
756;2002-05-15;120;4
757;2002-05-16;202;3
758;2002-05-16;2;3
759;2002-05-16;4;8
760;2002-05-16;201;4
761;2002-05-16;4;5
762;2002-05-16;117;1
763;2002-05-17;2;8
764;2002-05-17;2;5
765;2002-05-17;201;1
766;2002-05-17;116;5
767;2002-05-17;3;6
768;2002-05-17;114;3
769;2002-05-17;107;2
770;2002-05-17;116;5
771;2002-05-18;205;1
772;2002-05-18;116;6
773;2002-05-18;6;6
774;2002-05-18;104;6
775;2002-05-20;4;2
776;2002-05-20;117;1
777;2002-05-20;202;4
778;2002-05-20;5;8
779;2002-05-20;4;5
780;2002-05-20;119;1
781;2002-05-20;107;7
782;2002-05-20;4;4
783;2002-05-20;204;9
784;2002-05-20;117;3
785;2002-05-20;103;8
786;2002-05-20;202;6
787;2002-05-21;1;9
788;2002-05-21;110;9
789;2002-05-21;120;9
790;2002-05-21;5;5
791;2002-05-21;205;9
792;2002-05-21;117;1
793;2002-05-22;3;3
794;2002-05-22;119;3
795;2002-05-22;119;8
796;2002-05-22;117;1
797;2002-05-22;205;9
798;2002-05-23;1;2
799;2002-05-23;6;1
800;2002-05-23;107;7
801;2002-05-23;114;2
802;2002-05-23;201;6
803;2002-05-23;5;6
804;2002-05-23;116;1
805;2002-05-24;114;6
806;2002-05-24;104;9
807;2002-05-24;107;1
808;2002-05-24;108;1
809;2002-05-24;118;1
810;2002-05-24;103;8
811;2002-05-24;4;4
812;2002-05-24;204;9
813;2002-05-24;118;5
814;2002-05-24;4;2
815;2002-05-25;101;9
816;2002-05-25;102;3
817;2002-05-25;105;7
818;2002-05-25;1;8
819;2002-05-25;107;6
820;2002-05-25;201;8
821;2002-05-27;115;7
822;2002-05-27;109;7
823;2002-05-27;111;8
824;2002-05-27;108;4
825;2002-05-27;4;7
826;2002-05-27;120;1
827;2002-05-27;101;9
828;2002-05-27;119;3
829;2002-05-27;107;3
830;2002-05-28;110;7
831;2002-05-28;110;2
832;2002-05-28;117;8
833;2002-05-28;203;2
834;2002-05-28;3;1
835;2002-05-29;5;3
836;2002-05-29;113;5
837;2002-05-29;118;1
838;2002-05-29;118;1
839;2002-05-29;104;8
840;2002-05-29;203;3
841;2002-05-30;111;7
842;2002-05-30;203;2
843;2002-05-30;205;9
844;2002-05-30;109;7
845;2002-05-30;4;4
846;2002-05-30;102;2
847;2002-05-30;4;5
848;2002-05-30;1;3
849;2002-05-30;101;4
850;2002-05-30;205;1
851;2002-05-31;102;2
852;2002-05-31;107;9
853;2002-05-31;115;9
854;2002-05-31;108;2
855;2002-05-31;4;2
856;2002-05-31;109;1
857;2002-05-31;114;9
858;2002-05-31;104;8
859;2002-05-31;119;4
860;2002-05-31;3;8
861;2002-06-01;119;2
862;2002-06-01;106;6
863;2002-06-01;4;1
864;2002-06-01;118;8
865;2002-06-01;2;6
866;2002-06-01;5;5
867;2002-06-03;102;6
868;2002-06-03;1;6
869;2002-06-03;201;7
870;2002-06-03;109;1
871;2002-06-03;113;4
872;2002-06-03;110;7
873;2002-06-03;114;6
874;2002-06-03;104;7
875;2002-06-04;107;5
876;2002-06-04;106;1
877;2002-06-04;102;4
878;2002-06-04;108;3
879;2002-06-04;113;4
880;2002-06-04;202;9
881;2002-06-04;112;9
882;2002-06-04;118;6
883;2002-06-04;117;1
884;2002-06-05;117;9
885;2002-06-05;202;6
886;2002-06-05;119;5
887;2002-06-05;120;2
888;2002-06-05;118;2
889;2002-06-05;118;3
890;2002-06-05;117;7
891;2002-06-05;104;8
892;2002-06-06;114;3
893;2002-06-06;203;2
894;2002-06-06;5;9
895;2002-06-06;1;4
896;2002-06-06;3;8
897;2002-06-06;119;2
898;2002-06-07;115;8
899;2002-06-07;111;3
900;2002-06-07;202;1
901;2002-06-07;112;7
902;2002-06-07;117;5
903;2002-06-07;116;4
904;2002-06-07;1;6
905;2002-06-07;204;5
906;2002-06-08;113;9
907;2002-06-08;201;2
908;2002-06-08;205;7
909;2002-06-08;108;4
910;2002-06-08;107;5
911;2002-06-08;102;3
912;2002-06-08;115;5
913;2002-06-08;203;7
914;2002-06-10;105;9
915;2002-06-10;108;4
916;2002-06-10;119;3
917;2002-06-10;115;1
918;2002-06-10;204;3
919;2002-06-11;1;9
920;2002-06-11;113;5
921;2002-06-11;5;3
922;2002-06-11;104;2
923;2002-06-12;114;2
924;2002-06-12;102;6
925;2002-06-12;101;9
926;2002-06-12;114;7
927;2002-06-12;6;2
928;2002-06-13;107;3
929;2002-06-14;113;2
930;2002-06-14;119;7
931;2002-06-14;4;5
932;2002-06-15;112;1
933;2002-06-15;118;8
934;2002-06-15;119;3
935;2002-06-15;102;5
936;2002-06-17;105;9
937;2002-06-17;109;7
938;2002-06-17;115;6
939;2002-06-17;106;8
940;2002-06-17;120;6
941;2002-06-17;103;2
942;2002-06-18;203;2
943;2002-06-18;101;1
944;2002-06-18;117;9
945;2002-06-18;202;4
946;2002-06-18;114;6
947;2002-06-18;6;5
948;2002-06-19;3;4
949;2002-06-19;115;7
950;2002-06-19;111;3
951;2002-06-19;201;5
952;2002-06-19;114;1
953;2002-06-19;108;8
954;2002-06-19;4;8
955;2002-06-20;116;8
956;2002-06-20;113;9
957;2002-06-20;103;9
958;2002-06-20;3;2
959;2002-06-20;105;8
960;2002-06-20;203;9
961;2002-06-20;117;1
962;2002-06-20;120;3
963;2002-06-20;115;2
964;2002-06-21;119;3
965;2002-06-21;5;7
966;2002-06-21;114;1
967;2002-06-21;109;9
968;2002-06-21;201;1
969;2002-06-21;118;5
970;2002-06-22;4;2
971;2002-06-22;203;6
972;2002-06-22;118;5
973;2002-06-24;107;2
974;2002-06-24;116;4
975;2002-06-24;204;1
976;2002-06-24;113;9
977;2002-06-24;204;5
978;2002-06-24;118;1
979;2002-06-25;119;1
980;2002-06-25;203;2
981;2002-06-25;109;4
982;2002-06-25;114;8
983;2002-06-25;113;8
984;2002-06-25;205;3
985;2002-06-25;112;1
986;2002-06-25;111;5
987;2002-06-25;5;9
988;2002-06-26;110;3
989;2002-06-26;203;1
990;2002-06-26;116;3
991;2002-06-26;111;1
992;2002-06-26;6;4
993;2002-06-26;109;8
994;2002-06-27;3;3
995;2002-06-27;118;4
996;2002-06-27;201;8
997;2002-06-27;6;6
998;2002-06-27;205;8
999;2002-06-27;109;9
1000;2002-06-27;113;7
1001;2002-06-28;110;4
1002;2002-06-28;203;4
1003;2002-06-28;110;1
1004;2002-06-28;115;5
1005;2002-06-28;119;8
1006;2002-06-29;104;9
1007;2002-06-29;105;9
1008;2002-06-29;105;9
1009;2002-06-29;118;6
1010;2002-06-29;2;3
1011;2002-07-01;3;3
1012;2002-07-01;120;5
1013;2002-07-01;5;3
1014;2002-07-01;1;5
1015;2002-07-01;115;9
1016;2002-07-01;106;1
1017;2002-07-01;117;8
1018;2002-07-01;117;6
1019;2002-07-01;1;5
1020;2002-07-02;108;3
1021;2002-07-02;116;7
1022;2002-07-02;204;2
1023;2002-07-02;102;4
1024;2002-07-02;3;5
1025;2002-07-02;5;1
1026;2002-07-03;6;1
1027;2002-07-03;117;7
1028;2002-07-03;4;8
1029;2002-07-03;115;1
1030;2002-07-03;116;5
1031;2002-07-03;102;9
1032;2002-07-03;115;6
1033;2002-07-03;201;2
1034;2002-07-04;2;3
1035;2002-07-04;104;4
1036;2002-07-04;116;2
1037;2002-07-04;101;6
1038;2002-07-04;6;2
1039;2002-07-04;118;2
1040;2002-07-05;117;2
1041;2002-07-05;107;2
1042;2002-07-05;203;7
1043;2002-07-05;118;6
1044;2002-07-05;115;9
1045;2002-07-05;120;2
1046;2002-07-05;120;3
1047;2002-07-06;107;7
1048;2002-07-06;113;4
1049;2002-07-06;106;6
1050;2002-07-06;101;5
1051;2002-07-06;103;5
1052;2002-07-08;114;2
1053;2002-07-08;119;3
1054;2002-07-08;119;2
1055;2002-07-08;119;2
1056;2002-07-08;4;3
1057;2002-07-09;104;7
1058;2002-07-09;105;7
1059;2002-07-09;104;1
1060;2002-07-09;109;8
1061;2002-07-09;204;6
1062;2002-07-10;114;5
1063;2002-07-10;116;1
1064;2002-07-10;3;4
1065;2002-07-10;4;8
1066;2002-07-10;105;6
1067;2002-07-10;104;7
1068;2002-07-10;109;2
1069;2002-07-11;3;5
